﻿Geography,Year,Category,Industry Space Use,Value
East Melbourne,2041,Jobs by space use,Entertainment - Other,1146
East Melbourne,2025,Jobs by space use,Health,5035
East Melbourne,2031,Jobs by space use,Health,6097
East Melbourne,2039,Jobs by space use,Health,6197
East Melbourne,2042,Jobs by space use,Health,6160
East Melbourne,2043,Jobs by space use,Health,6166
East Melbourne,2028,Jobs by space use,Industrial,21
East Melbourne,2031,Jobs by space use,Industrial,17
East Melbourne,2032,Jobs by space use,Industrial,15
East Melbourne,2034,Jobs by space use,Industrial,11
East Melbourne,2036,Jobs by space use,Industrial,8
East Melbourne,2039,Jobs by space use,Industrial,5
East Melbourne,2041,Jobs by space use,Industrial,4
East Melbourne,2027,Jobs by space use,Office,12023
East Melbourne,2031,Jobs by space use,Office,12707
East Melbourne,2032,Jobs by space use,Office,12773
East Melbourne,2033,Jobs by space use,Office,12847
East Melbourne,2040,Jobs by space use,Office,13311
East Melbourne,2041,Jobs by space use,Office,13313
East Melbourne,2042,Jobs by space use,Office,13317
East Melbourne,2043,Jobs by space use,Office,13322
East Melbourne,2028,Jobs by space use,Other - Employment,102
East Melbourne,2032,Jobs by space use,Other - Employment,107
East Melbourne,2037,Jobs by space use,Other - Employment,108
East Melbourne,2038,Jobs by space use,Other - Employment,108
East Melbourne,2043,Jobs by space use,Other - Employment,108
East Melbourne,2023,Jobs by space use,Retail,176
East Melbourne,2028,Jobs by space use,Retail,221
East Melbourne,2030,Jobs by space use,Retail,235
East Melbourne,2036,Jobs by space use,Retail,244
East Melbourne,2043,Jobs by space use,Retail,249
Kensington,2024,Jobs by space use,Accommodation - Commercial,17
Kensington,2027,Jobs by space use,Accommodation - Commercial,49
Kensington,2029,Jobs by space use,Accommodation - Commercial,60
Kensington,2032,Jobs by space use,Accommodation - Commercial,76
Kensington,2036,Jobs by space use,Accommodation - Commercial,75
Kensington,2040,Jobs by space use,Accommodation - Commercial,82
Kensington,2041,Jobs by space use,Accommodation - Commercial,84
Kensington,2025,Jobs by space use,Education,451
Kensington,2027,Jobs by space use,Education,541
Kensington,2029,Jobs by space use,Education,584
Kensington,2031,Jobs by space use,Education,648
Kensington,2034,Jobs by space use,Education,729
Kensington,2038,Jobs by space use,Education,786
Kensington,2039,Jobs by space use,Education,800
Kensington,2040,Jobs by space use,Education,823
Kensington,2043,Jobs by space use,Education,892
Kensington,2023,Jobs by space use,Entertainment - Hospitality,200
Kensington,2027,Jobs by space use,Entertainment - Hospitality,449
Kensington,2030,Jobs by space use,Entertainment - Hospitality,515
Kensington,2038,Jobs by space use,Entertainment - Hospitality,618
Kensington,2040,Jobs by space use,Entertainment - Hospitality,634
Kensington,2043,Jobs by space use,Entertainment - Hospitality,653
Kensington,2024,Jobs by space use,Entertainment - Other,2744
Kensington,2027,Jobs by space use,Entertainment - Other,2846
Kensington,2028,Jobs by space use,Entertainment - Other,2841
Kensington,2034,Jobs by space use,Entertainment - Other,2745
Kensington,2036,Jobs by space use,Entertainment - Other,2721
Kensington,2038,Jobs by space use,Entertainment - Other,2711
Kensington,2040,Jobs by space use,Entertainment - Other,2709
Kensington,2027,Jobs by space use,Health,620
Kensington,2033,Jobs by space use,Health,830
Kensington,2034,Jobs by space use,Health,843
Kensington,2035,Jobs by space use,Health,867
Kensington,2037,Jobs by space use,Health,898
Kensington,2038,Jobs by space use,Health,927
Kensington,2042,Jobs by space use,Health,1024
Kensington,2023,Jobs by space use,Industrial,663
Kensington,2028,Jobs by space use,Industrial,680
Kensington,2029,Jobs by space use,Industrial,683
Kensington,2031,Jobs by space use,Industrial,686
Kensington,2034,Jobs by space use,Industrial,707
Kensington,2035,Jobs by space use,Industrial,712
Kensington,2039,Jobs by space use,Industrial,813
Kensington,2043,Jobs by space use,Industrial,833
Kensington,2029,Jobs by space use,Office,3219
Kensington,2037,Jobs by space use,Office,4369
Kensington,2038,Jobs by space use,Office,4424
Kensington,2029,Jobs by space use,Other - Employment,351
Kensington,2032,Jobs by space use,Other - Employment,403
Kensington,2037,Jobs by space use,Other - Employment,412
Kensington,2038,Jobs by space use,Other - Employment,414
Kensington,2039,Jobs by space use,Other - Employment,416
Kensington,2040,Jobs by space use,Other - Employment,418
Kensington,2023,Jobs by space use,Retail,417
Kensington,2024,Jobs by space use,Retail,448
Kensington,2026,Jobs by space use,Retail,519
Kensington,2028,Jobs by space use,Retail,577
Kensington,2030,Jobs by space use,Retail,609
Kensington,2032,Jobs by space use,Retail,677
Kensington,2036,Jobs by space use,Retail,808
Kensington,2037,Jobs by space use,Retail,816
Kensington,2038,Jobs by space use,Retail,824
Kensington,2039,Jobs by space use,Retail,832
Kensington,2041,Jobs by space use,Retail,849
Melbourne (CBD),2023,Jobs by space use,Accommodation - Commercial,4263
Melbourne (CBD),2028,Jobs by space use,Accommodation - Commercial,5201
Melbourne (CBD),2030,Jobs by space use,Accommodation - Commercial,5393
Melbourne (CBD),2031,Jobs by space use,Accommodation - Commercial,5476
Melbourne (CBD),2032,Jobs by space use,Accommodation - Commercial,5526
Melbourne (CBD),2039,Jobs by space use,Accommodation - Commercial,5780
Melbourne (CBD),2042,Jobs by space use,Accommodation - Commercial,5882
Melbourne (CBD),2025,Jobs by space use,Education,7817
Melbourne (CBD),2029,Jobs by space use,Education,9052
Melbourne (CBD),2030,Jobs by space use,Education,9320
Melbourne (CBD),2031,Jobs by space use,Education,9609
Melbourne (CBD),2033,Jobs by space use,Education,10015
Melbourne (CBD),2036,Jobs by space use,Education,10589
Melbourne (CBD),2042,Jobs by space use,Education,10898
Melbourne (CBD),2026,Jobs by space use,Entertainment - Hospitality,17866
Melbourne (CBD),2027,Jobs by space use,Entertainment - Hospitality,18169
Melbourne (CBD),2031,Jobs by space use,Entertainment - Hospitality,19442
Melbourne (CBD),2032,Jobs by space use,Entertainment - Hospitality,19613
Melbourne (CBD),2035,Jobs by space use,Entertainment - Hospitality,19982
Melbourne (CBD),2036,Jobs by space use,Entertainment - Hospitality,20122
Melbourne (CBD),2041,Jobs by space use,Entertainment - Hospitality,20762
Melbourne (CBD),2042,Jobs by space use,Entertainment - Hospitality,20848
Melbourne (CBD),2025,Jobs by space use,Entertainment - Other,4376
Melbourne (CBD),2026,Jobs by space use,Entertainment - Other,4452
Melbourne (CBD),2027,Jobs by space use,Entertainment - Other,4529
Melbourne (CBD),2029,Jobs by space use,Entertainment - Other,4704
Melbourne (CBD),2032,Jobs by space use,Entertainment - Other,4952
Melbourne (CBD),2037,Jobs by space use,Entertainment - Other,5308
Melbourne (CBD),2040,Jobs by space use,Entertainment - Other,5499
Melbourne (CBD),2042,Jobs by space use,Entertainment - Other,5606
Melbourne (CBD),2023,Jobs by space use,Health,1901
Melbourne (CBD),2025,Jobs by space use,Health,2008
Melbourne (CBD),2027,Jobs by space use,Health,2312
Melbourne (CBD),2029,Jobs by space use,Health,2538
Melbourne (CBD),2034,Jobs by space use,Health,3199
Melbourne (CBD),2039,Jobs by space use,Health,4210
Melbourne (CBD),2041,Jobs by space use,Health,4534
Melbourne (CBD),2042,Jobs by space use,Health,4678
Melbourne (CBD),2023,Jobs by space use,Industrial,154
Melbourne (CBD),2024,Jobs by space use,Industrial,157
Melbourne (CBD),2030,Jobs by space use,Industrial,115
Melbourne (CBD),2031,Jobs by space use,Industrial,104
Melbourne (CBD),2033,Jobs by space use,Industrial,97
Melbourne (CBD),2039,Jobs by space use,Industrial,59
Melbourne (CBD),2041,Jobs by space use,Industrial,59
Melbourne (CBD),2024,Jobs by space use,Office,193932
Melbourne (CBD),2025,Jobs by space use,Office,196433
Melbourne (CBD),2027,Jobs by space use,Office,203141
Melbourne (CBD),2030,Jobs by space use,Office,213607
Melbourne (CBD),2031,Jobs by space use,Office,216822
Melbourne (CBD),2032,Jobs by space use,Office,219530
Melbourne (CBD),2034,Jobs by space use,Office,224480
Melbourne (CBD),2036,Jobs by space use,Office,228404
Melbourne (CBD),2043,Jobs by space use,Office,238828
Melbourne (CBD),2025,Jobs by space use,Other - Employment,1207
Melbourne (CBD),2028,Jobs by space use,Other - Employment,1292
Melbourne (CBD),2031,Jobs by space use,Other - Employment,1376
Melbourne (CBD),2034,Jobs by space use,Other - Employment,1455
Melbourne (CBD),2035,Jobs by space use,Other - Employment,1479
Melbourne (CBD),2038,Jobs by space use,Other - Employment,1548
Melbourne (CBD),2039,Jobs by space use,Other - Employment,1568
Melbourne (CBD),2043,Jobs by space use,Other - Employment,1633
Melbourne (CBD),2023,Jobs by space use,Retail,16497
Melbourne (CBD),2026,Jobs by space use,Retail,18710
Melbourne (CBD),2031,Jobs by space use,Retail,21594
Melbourne (CBD),2033,Jobs by space use,Retail,22371
Melbourne (CBD),2035,Jobs by space use,Retail,23015
Melbourne (CBD),2039,Jobs by space use,Retail,24075
Melbourne (CBD),2040,Jobs by space use,Retail,24307
Melbourne (Remainder),2023,Jobs by space use,Accommodation - Commercial,57
Melbourne (Remainder),2027,Jobs by space use,Accommodation - Commercial,133
Melbourne (Remainder),2030,Jobs by space use,Accommodation - Commercial,133
Melbourne (Remainder),2034,Jobs by space use,Accommodation - Commercial,132
Melbourne (Remainder),2035,Jobs by space use,Accommodation - Commercial,133
Melbourne (Remainder),2040,Jobs by space use,Accommodation - Commercial,132
Melbourne (Remainder),2043,Jobs by space use,Accommodation - Commercial,132
Melbourne (Remainder),2025,Jobs by space use,Education,4593
Melbourne (Remainder),2026,Jobs by space use,Education,4624
Melbourne (Remainder),2029,Jobs by space use,Education,4693
Melbourne (Remainder),2032,Jobs by space use,Education,4745
Melbourne (Remainder),2033,Jobs by space use,Education,4764
Melbourne (Remainder),2034,Jobs by space use,Education,4785
Melbourne (Remainder),2037,Jobs by space use,Education,4712
Melbourne (Remainder),2038,Jobs by space use,Education,4682
Melbourne (Remainder),2040,Jobs by space use,Education,4598
Melbourne (Remainder),2041,Jobs by space use,Education,4612
Melbourne (Remainder),2043,Jobs by space use,Education,4644
Melbourne (Remainder),2025,Jobs by space use,Entertainment - Hospitality,2277
Melbourne (Remainder),2031,Jobs by space use,Entertainment - Hospitality,2344
Melbourne (Remainder),2032,Jobs by space use,Entertainment - Hospitality,2348
Melbourne (Remainder),2037,Jobs by space use,Entertainment - Hospitality,2363
Melbourne (Remainder),2041,Jobs by space use,Entertainment - Hospitality,2378
Melbourne (Remainder),2043,Jobs by space use,Entertainment - Hospitality,2383
Melbourne (Remainder),2026,Jobs by space use,Entertainment - Other,1531
Melbourne (Remainder),2029,Jobs by space use,Entertainment - Other,1487
Melbourne (Remainder),2035,Jobs by space use,Entertainment - Other,1421
Melbourne (Remainder),2039,Jobs by space use,Entertainment - Other,1391
Melbourne (Remainder),2042,Jobs by space use,Entertainment - Other,1374
Melbourne (Remainder),2023,Jobs by space use,Health,5623
Melbourne (Remainder),2027,Jobs by space use,Health,6111
Melbourne (Remainder),2029,Jobs by space use,Health,6107
Melbourne (Remainder),2030,Jobs by space use,Health,6107
Melbourne (Remainder),2031,Jobs by space use,Health,6111
Melbourne (Remainder),2035,Jobs by space use,Health,6147
Melbourne (Remainder),2039,Jobs by space use,Health,6212
Melbourne (Remainder),2040,Jobs by space use,Health,6164
Melbourne (Remainder),2042,Jobs by space use,Health,6176
Melbourne (Remainder),2043,Jobs by space use,Health,6182
Melbourne (Remainder),2024,Jobs by space use,Industrial,0
Melbourne (Remainder),2028,Jobs by space use,Industrial,0
Melbourne (Remainder),2036,Jobs by space use,Industrial,0
Melbourne (Remainder),2041,Jobs by space use,Industrial,0
Melbourne (Remainder),2042,Jobs by space use,Industrial,0
Melbourne (Remainder),2024,Jobs by space use,Office,8652
Melbourne (Remainder),2026,Jobs by space use,Office,9086
Melbourne (Remainder),2036,Jobs by space use,Office,10322
Melbourne (Remainder),2037,Jobs by space use,Office,10399
Melbourne (Remainder),2038,Jobs by space use,Office,10470
Melbourne (Remainder),2039,Jobs by space use,Office,10533
Melbourne (Remainder),2040,Jobs by space use,Office,10591
Melbourne (Remainder),2041,Jobs by space use,Office,10625
Melbourne (Remainder),2042,Jobs by space use,Office,10635
Melbourne (Remainder),2023,Jobs by space use,Other - Employment,34
Melbourne (Remainder),2027,Jobs by space use,Other - Employment,36
Melbourne (Remainder),2030,Jobs by space use,Other - Employment,33
Melbourne (Remainder),2036,Jobs by space use,Other - Employment,33
Melbourne (Remainder),2038,Jobs by space use,Other - Employment,33
Melbourne (Remainder),2039,Jobs by space use,Other - Employment,33
Melbourne (Remainder),2043,Jobs by space use,Other - Employment,33
Melbourne (Remainder),2023,Jobs by space use,Retail,552
Melbourne (Remainder),2024,Jobs by space use,Retail,643
Melbourne (Remainder),2025,Jobs by space use,Retail,673
Melbourne (Remainder),2034,Jobs by space use,Retail,701
Melbourne (Remainder),2035,Jobs by space use,Retail,698
Melbourne (Remainder),2040,Jobs by space use,Retail,712
Melbourne (Remainder),2042,Jobs by space use,Retail,707
North Melbourne,2027,Jobs by space use,Accommodation - Commercial,279
North Melbourne,2028,Jobs by space use,Accommodation - Commercial,293
North Melbourne,2033,Jobs by space use,Accommodation - Commercial,358
North Melbourne,2034,Jobs by space use,Accommodation - Commercial,366
North Melbourne,2037,Jobs by space use,Accommodation - Commercial,386
North Melbourne,2038,Jobs by space use,Accommodation - Commercial,393
North Melbourne,2039,Jobs by space use,Accommodation - Commercial,400
North Melbourne,2043,Jobs by space use,Accommodation - Commercial,428
North Melbourne,2023,Jobs by space use,Education,815
North Melbourne,2027,Jobs by space use,Education,2176
North Melbourne,2028,Jobs by space use,Education,2337
North Melbourne,2031,Jobs by space use,Education,2753
North Melbourne,2033,Jobs by space use,Education,2878
North Melbourne,2035,Jobs by space use,Education,3006
North Melbourne,2023,Jobs by space use,Entertainment - Hospitality,502
North Melbourne,2025,Jobs by space use,Entertainment - Hospitality,767
North Melbourne,2027,Jobs by space use,Entertainment - Hospitality,876
North Melbourne,2035,Jobs by space use,Entertainment - Hospitality,1126
North Melbourne,2040,Jobs by space use,Entertainment - Hospitality,1178
North Melbourne,2042,Jobs by space use,Entertainment - Hospitality,1214
North Melbourne,2027,Jobs by space use,Entertainment - Other,478
North Melbourne,2030,Jobs by space use,Entertainment - Other,526
North Melbourne,2033,Jobs by space use,Entertainment - Other,599
North Melbourne,2034,Jobs by space use,Entertainment - Other,625
North Melbourne,2035,Jobs by space use,Entertainment - Other,645
North Melbourne,2036,Jobs by space use,Entertainment - Other,654
North Melbourne,2039,Jobs by space use,Entertainment - Other,675
North Melbourne,2040,Jobs by space use,Entertainment - Other,683
North Melbourne,2042,Jobs by space use,Entertainment - Other,703
North Melbourne,2023,Jobs by space use,Health,623
North Melbourne,2026,Jobs by space use,Health,1655
North Melbourne,2030,Jobs by space use,Health,2398
North Melbourne,2035,Jobs by space use,Health,2926
North Melbourne,2036,Jobs by space use,Health,2997
North Melbourne,2038,Jobs by space use,Health,3196
North Melbourne,2039,Jobs by space use,Health,3301
North Melbourne,2043,Jobs by space use,Health,3715
North Melbourne,2023,Jobs by space use,Industrial,840
North Melbourne,2028,Jobs by space use,Industrial,826
North Melbourne,2037,Jobs by space use,Industrial,908
North Melbourne,2039,Jobs by space use,Industrial,939
North Melbourne,2041,Jobs by space use,Industrial,1043
North Melbourne,2029,Jobs by space use,Office,6941
North Melbourne,2032,Jobs by space use,Office,7802
North Melbourne,2035,Jobs by space use,Office,8946
North Melbourne,2038,Jobs by space use,Office,9489
North Melbourne,2040,Jobs by space use,Office,9688
North Melbourne,2041,Jobs by space use,Office,10295
North Melbourne,2043,Jobs by space use,Office,11231
North Melbourne,2033,Jobs by space use,Other - Employment,171
North Melbourne,2034,Jobs by space use,Other - Employment,179
North Melbourne,2038,Jobs by space use,Other - Employment,197
North Melbourne,2039,Jobs by space use,Other - Employment,200
North Melbourne,2040,Jobs by space use,Other - Employment,203
North Melbourne,2041,Jobs by space use,Other - Employment,207
North Melbourne,2042,Jobs by space use,Other - Employment,209
North Melbourne,2043,Jobs by space use,Other - Employment,212
North Melbourne,2023,Jobs by space use,Retail,1135
North Melbourne,2027,Jobs by space use,Retail,1652
North Melbourne,2037,Jobs by space use,Retail,2046
North Melbourne,2038,Jobs by space use,Retail,2076
North Melbourne,2039,Jobs by space use,Retail,2103
Parkville,2028,Jobs by space use,Accommodation - Commercial,530
Parkville,2031,Jobs by space use,Accommodation - Commercial,529
Parkville,2034,Jobs by space use,Accommodation - Commercial,528
Parkville,2039,Jobs by space use,Accommodation - Commercial,528
Parkville,2040,Jobs by space use,Accommodation - Commercial,527
Parkville,2043,Jobs by space use,Accommodation - Commercial,527
Parkville,2026,Jobs by space use,Education,6844
Parkville,2027,Jobs by space use,Education,6860
Parkville,2029,Jobs by space use,Education,6899
Parkville,2031,Jobs by space use,Education,6932
Parkville,2032,Jobs by space use,Education,6949
Parkville,2033,Jobs by space use,Education,6964
Parkville,2034,Jobs by space use,Education,6995
Parkville,2036,Jobs by space use,Education,6982
Parkville,2040,Jobs by space use,Education,6772
Parkville,2042,Jobs by space use,Education,6777
Parkville,2023,Jobs by space use,Entertainment - Hospitality,533
Parkville,2025,Jobs by space use,Entertainment - Hospitality,805
Parkville,2037,Jobs by space use,Entertainment - Hospitality,833
Parkville,2038,Jobs by space use,Entertainment - Hospitality,834
Parkville,2039,Jobs by space use,Entertainment - Hospitality,836
Parkville,2042,Jobs by space use,Entertainment - Hospitality,839
Parkville,2043,Jobs by space use,Entertainment - Hospitality,840
Parkville,2023,Jobs by space use,Entertainment - Other,537
Parkville,2025,Jobs by space use,Entertainment - Other,564
Parkville,2034,Jobs by space use,Entertainment - Other,526
Parkville,2036,Jobs by space use,Entertainment - Other,520
Parkville,2038,Jobs by space use,Entertainment - Other,515
Parkville,2042,Jobs by space use,Entertainment - Other,507
Parkville,2023,Jobs by space use,Health,24641
Parkville,2025,Jobs by space use,Health,25245
Parkville,2026,Jobs by space use,Health,25267
Parkville,2028,Jobs by space use,Health,25381
Parkville,2029,Jobs by space use,Health,25437
Parkville,2032,Jobs by space use,Health,25568
Parkville,2034,Jobs by space use,Health,25547
Parkville,2035,Jobs by space use,Health,25643
Parkville,2036,Jobs by space use,Health,25644
Parkville,2037,Jobs by space use,Health,25693
Parkville,2038,Jobs by space use,Health,25786
Parkville,2042,Jobs by space use,Health,25678
Parkville,2043,Jobs by space use,Health,25701
Parkville,2024,Jobs by space use,Industrial,0
Parkville,2025,Jobs by space use,Industrial,0
Parkville,2026,Jobs by space use,Industrial,0
Parkville,2027,Jobs by space use,Industrial,0
Parkville,2029,Jobs by space use,Industrial,0
Parkville,2031,Jobs by space use,Industrial,0
Parkville,2034,Jobs by space use,Industrial,0
Parkville,2035,Jobs by space use,Industrial,0
Parkville,2041,Jobs by space use,Industrial,0
Parkville,2024,Jobs by space use,Office,1562
Parkville,2026,Jobs by space use,Office,1645
Parkville,2028,Jobs by space use,Office,1724
Parkville,2029,Jobs by space use,Office,1764
Parkville,2030,Jobs by space use,Office,1804
Parkville,2032,Jobs by space use,Office,1862
Parkville,2034,Jobs by space use,Office,1901
Parkville,2036,Jobs by space use,Office,1933
Parkville,2037,Jobs by space use,Office,1940
Parkville,2038,Jobs by space use,Office,1943
Parkville,2039,Jobs by space use,Office,1945
Parkville,2043,Jobs by space use,Office,1951
Parkville,2023,Jobs by space use,Other - Employment,44
Parkville,2026,Jobs by space use,Other - Employment,49
Parkville,2028,Jobs by space use,Other - Employment,47
Parkville,2029,Jobs by space use,Other - Employment,46
Parkville,2030,Jobs by space use,Other - Employment,46
Parkville,2031,Jobs by space use,Other - Employment,45
Parkville,2036,Jobs by space use,Other - Employment,46
Parkville,2037,Jobs by space use,Other - Employment,46
Parkville,2040,Jobs by space use,Other - Employment,46
Parkville,2042,Jobs by space use,Other - Employment,47
Parkville,2023,Jobs by space use,Retail,179
Parkville,2024,Jobs by space use,Retail,193
Parkville,2027,Jobs by space use,Retail,225
Parkville,2029,Jobs by space use,Retail,225
Parkville,2030,Jobs by space use,Retail,228
Parkville,2031,Jobs by space use,Retail,231
Parkville,2037,Jobs by space use,Retail,223
Parkville,2040,Jobs by space use,Retail,226
Port Melbourne,2027,Jobs by space use,Accommodation - Commercial,57
Port Melbourne,2038,Jobs by space use,Accommodation - Commercial,157
Port Melbourne,2040,Jobs by space use,Accommodation - Commercial,185
Port Melbourne,2041,Jobs by space use,Accommodation - Commercial,202
Port Melbourne,2042,Jobs by space use,Accommodation - Commercial,212
Port Melbourne,2024,Jobs by space use,Education,1108
Port Melbourne,2025,Jobs by space use,Education,1127
Port Melbourne,2027,Jobs by space use,Education,1187
Port Melbourne,2031,Jobs by space use,Education,1309
Port Melbourne,2034,Jobs by space use,Education,1394
Port Melbourne,2027,Jobs by space use,Entertainment - Hospitality,234
Port Melbourne,2028,Jobs by space use,Entertainment - Hospitality,262
Port Melbourne,2030,Jobs by space use,Entertainment - Hospitality,328
Port Melbourne,2034,Jobs by space use,Entertainment - Hospitality,419
Port Melbourne,2035,Jobs by space use,Entertainment - Hospitality,450
Port Melbourne,2036,Jobs by space use,Entertainment - Hospitality,493
Port Melbourne,2040,Jobs by space use,Entertainment - Hospitality,622
Port Melbourne,2041,Jobs by space use,Entertainment - Hospitality,656
Port Melbourne,2028,Jobs by space use,Entertainment - Other,38
Port Melbourne,2030,Jobs by space use,Entertainment - Other,53
Port Melbourne,2031,Jobs by space use,Entertainment - Other,62
Port Melbourne,2033,Jobs by space use,Entertainment - Other,79
Port Melbourne,2034,Jobs by space use,Entertainment - Other,91
Port Melbourne,2038,Jobs by space use,Entertainment - Other,139
Port Melbourne,2040,Jobs by space use,Entertainment - Other,163
Port Melbourne,2042,Jobs by space use,Entertainment - Other,180
Port Melbourne,2026,Jobs by space use,Health,156
Port Melbourne,2031,Jobs by space use,Health,541
Port Melbourne,2034,Jobs by space use,Health,899
Port Melbourne,2040,Jobs by space use,Health,2930
Port Melbourne,2042,Jobs by space use,Health,3763
Port Melbourne,2043,Jobs by space use,Health,4169
Port Melbourne,2029,Jobs by space use,Industrial,4183
Port Melbourne,2032,Jobs by space use,Industrial,4237
Port Melbourne,2034,Jobs by space use,Industrial,4269
Port Melbourne,2038,Jobs by space use,Industrial,4210
Port Melbourne,2040,Jobs by space use,Industrial,4036
Port Melbourne,2043,Jobs by space use,Industrial,4040
Port Melbourne,2026,Jobs by space use,Office,8329
Port Melbourne,2027,Jobs by space use,Office,8454
Port Melbourne,2028,Jobs by space use,Office,8576
Port Melbourne,2029,Jobs by space use,Office,8689
Port Melbourne,2035,Jobs by space use,Office,9225
Port Melbourne,2037,Jobs by space use,Office,11333
Port Melbourne,2042,Jobs by space use,Office,15685
Port Melbourne,2043,Jobs by space use,Office,16026
Port Melbourne,2029,Jobs by space use,Other - Employment,158
Port Melbourne,2030,Jobs by space use,Other - Employment,169
Port Melbourne,2033,Jobs by space use,Other - Employment,207
Port Melbourne,2040,Jobs by space use,Other - Employment,304
Port Melbourne,2042,Jobs by space use,Other - Employment,334
Port Melbourne,2024,Jobs by space use,Retail,209
Port Melbourne,2026,Jobs by space use,Retail,235
Port Melbourne,2036,Jobs by space use,Retail,425
Port Melbourne,2038,Jobs by space use,Retail,446
Port Melbourne,2040,Jobs by space use,Retail,463
South Yarra,2023,Jobs by space use,Accommodation - Commercial,85
South Yarra,2030,Jobs by space use,Accommodation - Commercial,77
South Yarra,2031,Jobs by space use,Accommodation - Commercial,77
South Yarra,2033,Jobs by space use,Accommodation - Commercial,77
South Yarra,2034,Jobs by space use,Accommodation - Commercial,77
South Yarra,2036,Jobs by space use,Accommodation - Commercial,77
South Yarra,2023,Jobs by space use,Education,850
South Yarra,2025,Jobs by space use,Education,934
South Yarra,2036,Jobs by space use,Education,963
South Yarra,2037,Jobs by space use,Education,964
South Yarra,2039,Jobs by space use,Education,976
South Yarra,2041,Jobs by space use,Education,1016
South Yarra,2023,Jobs by space use,Entertainment - Hospitality,132
South Yarra,2030,Jobs by space use,Entertainment - Hospitality,139
South Yarra,2032,Jobs by space use,Entertainment - Hospitality,140
South Yarra,2035,Jobs by space use,Entertainment - Hospitality,140
South Yarra,2036,Jobs by space use,Entertainment - Hospitality,141
South Yarra,2042,Jobs by space use,Entertainment - Hospitality,142
South Yarra,2025,Jobs by space use,Entertainment - Other,28
South Yarra,2026,Jobs by space use,Entertainment - Other,27
South Yarra,2030,Jobs by space use,Entertainment - Other,26
South Yarra,2032,Jobs by space use,Entertainment - Other,25
South Yarra,2033,Jobs by space use,Entertainment - Other,24
South Yarra,2036,Jobs by space use,Entertainment - Other,23
South Yarra,2039,Jobs by space use,Entertainment - Other,23
South Yarra,2042,Jobs by space use,Entertainment - Other,22
South Yarra,2023,Jobs by space use,Health,0
South Yarra,2026,Jobs by space use,Health,42
South Yarra,2028,Jobs by space use,Health,42
South Yarra,2029,Jobs by space use,Health,42
South Yarra,2033,Jobs by space use,Health,42
South Yarra,2034,Jobs by space use,Health,42
South Yarra,2036,Jobs by space use,Health,42
South Yarra,2037,Jobs by space use,Health,42
South Yarra,2040,Jobs by space use,Health,42
South Yarra,2042,Jobs by space use,Health,42
South Yarra,2043,Jobs by space use,Health,42
South Yarra,2024,Jobs by space use,Industrial,2
South Yarra,2025,Jobs by space use,Industrial,2
South Yarra,2027,Jobs by space use,Industrial,1
South Yarra,2029,Jobs by space use,Industrial,1
South Yarra,2032,Jobs by space use,Industrial,1
South Yarra,2034,Jobs by space use,Industrial,1
South Yarra,2037,Jobs by space use,Industrial,0
South Yarra,2041,Jobs by space use,Industrial,0
South Yarra,2024,Jobs by space use,Office,31
South Yarra,2025,Jobs by space use,Office,31
South Yarra,2026,Jobs by space use,Office,32
South Yarra,2028,Jobs by space use,Office,33
South Yarra,2029,Jobs by space use,Office,34
South Yarra,2030,Jobs by space use,Office,34
South Yarra,2031,Jobs by space use,Office,35
South Yarra,2034,Jobs by space use,Office,36
South Yarra,2041,Jobs by space use,Office,37
South Yarra,2042,Jobs by space use,Office,37
South Yarra,2043,Jobs by space use,Office,37
South Yarra,2026,Jobs by space use,Other - Employment,2
South Yarra,2028,Jobs by space use,Other - Employment,2
South Yarra,2029,Jobs by space use,Other - Employment,2
South Yarra,2031,Jobs by space use,Other - Employment,2
South Yarra,2033,Jobs by space use,Other - Employment,2
South Yarra,2036,Jobs by space use,Other - Employment,2
South Yarra,2037,Jobs by space use,Other - Employment,2
South Yarra,2040,Jobs by space use,Other - Employment,2
South Yarra,2042,Jobs by space use,Other - Employment,2
South Yarra,2043,Jobs by space use,Other - Employment,2
South Yarra,2027,Jobs by space use,Retail,25
South Yarra,2029,Jobs by space use,Retail,25
South Yarra,2032,Jobs by space use,Retail,25
South Yarra,2033,Jobs by space use,Retail,25
South Yarra,2036,Jobs by space use,Retail,25
South Yarra,2039,Jobs by space use,Retail,25
South Yarra,2043,Jobs by space use,Retail,25
Southbank,2025,Jobs by space use,Accommodation - Commercial,1952
Southbank,2029,Jobs by space use,Accommodation - Commercial,2140
Southbank,2032,Jobs by space use,Accommodation - Commercial,2247
Southbank,2033,Jobs by space use,Accommodation - Commercial,2263
Southbank,2038,Jobs by space use,Accommodation - Commercial,2347
Southbank,2041,Jobs by space use,Accommodation - Commercial,2399
Southbank,2043,Jobs by space use,Accommodation - Commercial,2422
Southbank,2027,Jobs by space use,Education,1879
Southbank,2028,Jobs by space use,Education,1960
Southbank,2032,Jobs by space use,Education,2294
Southbank,2039,Jobs by space use,Education,2655
Southbank,2041,Jobs by space use,Education,2713
Southbank,2026,Jobs by space use,Entertainment - Hospitality,5632
Southbank,2028,Jobs by space use,Entertainment - Hospitality,6017
Southbank,2034,Jobs by space use,Entertainment - Hospitality,6880
Southbank,2035,Jobs by space use,Entertainment - Hospitality,6962
Southbank,2036,Jobs by space use,Entertainment - Hospitality,7050
Southbank,2024,Jobs by space use,Entertainment - Other,9806
